sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d2_subject37_vid_4b033dba,train,green,single_forehead,8.130908966064453,9.016835827534555,-0.1924958747268046,-8.130908966064453,-4.9921530173629,38
ubfc_d2_subject37_vid_4b033dba,train,green,single_left_cheek,8.183524081581517,8.934912902974649,-0.21506018253448367,-8.183524081581517,-4.659621809118503,38
ubfc_d2_subject37_vid_4b033dba,train,green,single_right_cheek,7.867832284224661,8.65914921954669,-0.19622314774233485,-7.867832284224661,-4.708031955450848,38
ubfc_d2_subject37_vid_4b033dba,train,green,average_fusion,8.288754814549497,9.121580956156697,-0.20563401810892593,-8.288754814549497,-3.970100140211339,38
ubfc_d2_subject37_vid_4b033dba,train,green,quality_weighted_fusion,8.183524181968288,9.005278818433418,-0.20348429059252238,-8.183524181968288,-3.7704381305530394,38
ubfc_d2_subject37_vid_4b033dba,train,green,signal_extraction_baseline,8.288901981554533,9.121711287346965,-0.20563407444806217,-8.288901981554533,-3.9701001660832786,38
ubfc_d2_subject37_vid_4b033dba,train,chrom,single_forehead,18.022584814774362,18.147397808731437,-0.20001241855341786,-18.022584814774362,-8.346145851796047,38
ubfc_d2_subject37_vid_4b033dba,train,chrom,single_left_cheek,19.653658214368317,19.69721985381405,0.02670580725595692,-19.653658214368317,-6.267555169174383,38
ubfc_d2_subject37_vid_4b033dba,train,chrom,single_right_cheek,14.392129596910978,14.969607557172155,0.10468743831408851,-14.392129596910978,-7.972251027367094,38
ubfc_d2_subject37_vid_4b033dba,train,chrom,average_fusion,15.70751200224224,16.271095411323074,0.022535397603180223,-15.70751200224224,-6.744224978234462,38
ubfc_d2_subject37_vid_4b033dba,train,chrom,quality_weighted_fusion,17.443817439832184,17.55448388933974,-0.04591143796643743,-17.443817439832184,-6.88614278432388,38
ubfc_d2_subject37_vid_4b033dba,train,chrom,signal_extraction_baseline,15.707639393053556,16.271215663131443,0.022535493683194543,-15.707639393053556,-6.744224958631016,38
ubfc_d2_subject37_vid_4b033dba,train,pos,single_forehead,8.44660066303454,9.276312042424511,-0.22927674354566946,-8.44660066303454,-3.9794274050154224,38
ubfc_d2_subject37_vid_4b033dba,train,pos,single_left_cheek,8.288754814549497,9.173333871031854,-0.2150985837114025,-8.288754814549497,-2.9409018753501592,38
ubfc_d2_subject37_vid_4b033dba,train,pos,single_right_cheek,8.499215979325143,9.332955661494783,-0.23041111465738368,-8.499215979325143,-4.687880715936307,38
ubfc_d2_subject37_vid_4b033dba,train,pos,average_fusion,8.499215979325143,9.332955661494783,-0.23041111465738368,-8.499215979325143,-3.698676209417844,38
ubfc_d2_subject37_vid_4b033dba,train,pos,quality_weighted_fusion,8.499215979325143,9.332955661494783,-0.23041111465738368,-8.499215979325143,-3.656468752472853,38
ubfc_d2_subject37_vid_4b033dba,train,pos,signal_extraction_baseline,8.49936264439633,9.33308585706869,-0.23041117440433448,-8.49936264439633,-3.6986762252631014,38
